Time (s),Amplitude,Frequency (Hz),Magnitude
0.019875,3.5355282e-05,,
0.0199375,3.431084e-05,,
0.02,-4.5399493e-06,,
0.0200625,8.925536e-05,,
0.020125,5.407915e-05,,
0.0201875,-3.467465e-06,,
0.02025,5.9659524e-06,,
0.0203125,2.1342386e-05,,
0.020375,-1.4434058e-05,,
0.0204375,-1.14253435e-05,,
0.0205,1.4984648e-05,,
0.0205625,-1.8541119e-05,,
0.020625,3.6304937e-06,,
0.0206875,-5.0553543e-05,,
0.02075,-8.588568e-05,,
0.0208125,-0.00014599234,,
0.020875,-9.675413e-05,,
0.0209375,-5.8007467e-05,,
0.021,-5.990111e-05,,
0.0210625,-7.5620075e-05,,
0.021125,-9.221207e-05,,
0.0211875,-4.57797e-05,,
0.02125,5.80723e-06,,
0.0213125,5.5969598e-05,,
0.021375,-3.0596242e-05,,
0.0214375,-1.3335517e-05,,
0.021500000000000002,2.047115e-05,,
0.021562500000000002,3.5981834e-06,,
0.021625000000000002,-3.400548e-05,,
0.021687500000000002,-3.8056707e-05,,
0.021750000000000002,6.2681414e-05,,
0.021812500000000002,9.6515985e-05,,
0.021875000000000002,9.89159e-06,,
0.021937500000000002,-1.4458495e-05,,
0.022,5.5229284e-05,,
0.0220625,2.384466e-05,,
0.022125,-4.3718235e-05,,
0.0221875,2.2099657e-05,,
0.02225,0.00012743505,,
0.0223125,8.8957255e-05,,
0.022375,3.423871e-05,,
0.0224375,2.4944733e-05,,
0.0225,6.9028916e-05,,
0.0225625,0.000102606224,,
0.022625,-5.6633703e-06,,
0.0226875,3.305102e-05,,
0.02275,0.0001274944,,
0.0228125,0.00010961555,,
0.022875,7.101352e-05,,
0.0229375,2.2708235e-05,,
0.023,1.5150788e-05,,
0.0230625,2.6867794e-05,,
0.023125,5.2394316e-05,,
0.0231875,-2.9535007e-05,,
0.02325,-7.8328456e-05,,
0.0233125,-0.00010879578,,
0.023375,-8.4652e-05,,
0.0234375,-4.833195e-05,,
0.0235,-4.076187e-05,,
0.0235625,-1.2216215e-05,,
0.023625,-6.252565e-05,,
0.0236875,-4.5381214e-05,,
0.02375,-2.7204349e-05,,
0.0238125,-4.299443e-05,,
0.023875,-6.66504e-05,,
0.0239375,5.6470424e-05,,
0.024,5.9298796e-05,,
0.0240625,1.7765691e-05,,
0.024125,0.00012691622,,
0.0241875,9.275366e-05,,
0.02425,2.4174674e-06,,
0.0243125,-4.6570538e-05,,
0.024375,-4.3316984e-05,,
0.0244375,-8.6425825e-06,,
0.0245,-1.1361251e-05,,
0.0245625,-0.0001115793,,
0.024625,-0.00011718682,,
0.0246875,-5.0516996e-05,,
0.02475,-0.00012430505,,
0.0248125,-0.00019000066,,
0.024875,-8.151298e-05,,
0.0249375,-1.27110125e-05,,
